Time,co2,temp,hum,lux
0.00,202,16.5,59.9,0
300.00,202,16.5,59.8,0
600.00,202,16.5,59.8,0
900.00,202,16.5,59.7,0
1200.00,202,16.5,59.7,0
1500.00,202,16.4,59.6,0
1800.00,202,16.4,59.5,0
2100.00,202,16.4,59.5,0
2400.00,201,16.4,59.4,0
2700.00,201,16.4,59.3,0
3000.00,201,16.4,59.3,0
3300.00,201,16.4,59.2,0
3600.00,201,16.4,59.2,0
3900.00,201,16.4,59.1,0
4200.00,201,16.4,59.1,0
4500.00,201,16.4,59,0
4800.00,201,16.4,58.9,0
5100.00,201,16.4,58.7,0
5400.00,201,16.4,58.6,0
5700.00,200,16.4,58.5,0
6000.00,200,16.4,58.4,0
6300.00,200,16.4,58.3,0
6600.00,200,16.4,58.3,0
6900.00,200,16.4,58.3,0
7200.00,200,16.4,58.3,0
7500.00,200,16.4,58.3,0
7800.00,200,16.4,58.3,0
8100.00,200,16.4,58.3,0
8400.00,200,16.4,58.3,0
8700.00,200,16.3,58.3,0
9000.00,200,16.3,58.3,0
9300.00,200,16.3,58.3,0
9600.00,200,16.3,58.3,0
9900.00,200,16.3,58.3,0
10200.00,200,16.3,58.3,0
10500.00,200,16.3,58.3,0
10800.00,200,16.3,58.3,0
11100.00,200,16.3,58.3,0
11400.00,200,16.2,58.3,0
11700.00,200,16.2,58.3,0
12000.00,200,16.2,58.3,0
12300.00,200,16.2,58.3,0
12600.00,200,16.2,58.3,0
12900.00,200,16.2,58.2,0
13200.00,200,16.2,58.2,0
13500.00,200,16.2,58.2,0
13800.00,200,16.2,58.2,0
14100.00,200,16.2,58.2,0
14400.00,200,16.2,58.2,0
14700.00,200,16.1,58.2,0
15000.00,200,16.1,58.2,0
15300.00,200,16.1,58.1,0
15600.00,200,16.1,58.1,0
15900.00,200,16.1,58.1,0
16200.00,200,16.1,58.1,0
16500.00,200,16.1,58.1,0
16800.00,200,16.1,58.1,0
17100.00,200,16.2,57.9,0
17400.00,200,16.2,57.8,0
17700.00,200,16.2,57.7,0
18000.00,200,16.2,57.5,0
18300.00,200,16.2,57.5,0
18600.00,200,16.2,57.4,0
18900.00,200,16.2,57.3,0
19200.00,200,16.2,57.3,0
19500.00,200,16.2,57.2,0
19800.00,200,16.2,57.2,0
20100.00,200,16.3,57.1,0
20400.00,200,16.3,57.1,0
20700.00,200,16.3,57,0
